timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OT,filtered_vx,filtered_vygateArea
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00623302,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00602347,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
30,-3.21239e-12,1.50806e-38,-1.57367e-06,-3.27827e-12,1.50794e-38,-3.40903e-12,-1.13703e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.00118554,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
40,-3.21239e-12,1.50806e-38,-1.57367e-06,-3.27827e-12,1.50794e-38,0,-1.13703e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.00114801,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
50,-3.21239e-12,1.50806e-38,-1.57367e-06,-3.27827e-12,1.50794e-38,-3.40903e-12,-1.13704e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.0011117,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
60,-3.21239e-12,1.50806e-38,-1.57367e-06,-3.27827e-12,1.50794e-38,0,-1.13704e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.0010787,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
70,-3.21239e-12,1.50806e-38,-1.57367e-06,-3.27827e-12,1.50794e-38,-3.40903e-12,-1.13705e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.00104669,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
80,-3.21239e-12,1.50806e-38,-1.57367e-06,-3.27827e-12,1.50794e-38,0,-1.13705e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.00101358,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
90,-3.21239e-12,1.50806e-38,-1.57367e-06,-3.27827e-12,1.50794e-38,-3.40903e-12,-1.13706e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000983512,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
100,-3.21239e-12,1.50806e-38,-1.57367e-06,-3.27827e-12,1.50794e-38,0,-1.13706e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000954335,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
110,-3.21239e-12,1.50806e-38,-1.57367e-06,-3.27827e-12,1.50794e-38,-3.40903e-12,-1.13707e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000926009,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
120,-3.21239e-12,1.50806e-38,-1.57367e-06,-3.27827e-12,1.50794e-38,0,-1.13708e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000833058,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
130,-3.21239e-12,1.50806e-38,-1.57367e-06,-3.27827e-12,1.50794e-38,-3.40903e-12,-1.13708e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000785436,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
140,-3.21239e-12,1.50806e-38,-1.57367e-06,-3.27827e-12,1.50794e-38,0,-1.13709e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.00063536,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
150,-3.21239e-12,1.50806e-38,-1.57367e-06,-3.27827e-12,1.50794e-38,-3.40903e-12,-1.13709e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000570335,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
